year,kode urusan,urusan,skpd/ukpd,prorgram,kegiatan,dpa
2013,1.19,KESATUAN BANGSA DAN POLIT,Kantor Kesatuan Bangsa Dan Politik - JAKUT,Program pendidikan politik masyarakat,Peningkatan Wawasan politik bagi Wanita,"220,000,000"
2013,1.06,PERENCANAAN PEMBANGUNAN,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Program penerapan kaidah good governance dalam penyelenggaraan urusan Perencanaan Pembangunan,Operasional Pengelolaan Database dan Sistem Perpustakaan Bappeda,"150,000,000"
2013,2.04,PARIWISATA,Sudin Pariwisata - JAKBAR,"2. Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Pariwisata",Pengadaan Peralatan Kantor dan Komputer,"50,000,000"
2013,1.17,KEBUDAYAAN,DINAS PARIWISATA DAN KEBUDAYAAN,5. Program pengembangan nilai budaya,Penyusunan Modulasi Pelatihan Seni Budaya Betawi,"200,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,"Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKBAR",Program pembinaan dan pengembangan lembaga Koperasi dan UKM,Peningkatan Kinerja KJK PEMK,"100,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,"Pusat Promosi Usaha Mikro, Kecil dan Menengah",Program peningkatan sarana prasarana Koperasi dan UKM,Rehab. Gedung Mall UKM,"3,998,000,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BIRO TATA PEMERINTAHAN,Program peningkatan pelayanan Pemerintahan Kelurahan,Penyusunan Bahan Kebijakan tentang Standarisasi Pelayanan Masyarakat Pada Kelurahan,"75,000,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BIRO TATA PEMERINTAHAN,Program peningkatan kerjasama antar daerah,Fasilitasi Kerjasama dengan Lembaga /Badan,"250,000,000"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Menengah   - JAKBAR,Program wajib belajar 12 tahun,Biaya Operasional Pendidikan SMK Negeri,"38,491,200,000"
2013,1.02,KESEHATAN,RSUD Pasar Minggu,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kesehatan,Persiapan SDM RSUD Pasar Minggu,"617,000,000"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Menengah   - JAKTIM,Program peningkatan sarana dan prasarana Pendidikan,Rehabilitasi Berat Gedung SMAN 42,"2,000,000,000"
2013,1.02,KESEHATAN,Pusat Pelayanan Kesehatan Pegawai,Program pencegahan penyakit tidak menular,Pemeriksaan Kesehatan Khusus bagi pegawai dan Pejabat Daerah,"1,666,880,000"
2013,1.02,KESEHATAN,BLUD Ambulan Gawat Darurat (AGD),Program Promosi Kesehatan dan Pemberdayaan Masyarakat,Sosialisasi Ambulans Gawat Darurat,"50,000,000"
2013,1.08,LINGKUNGAN HIDUP,Sudin Pemakaman - JAKUT,Program penerapan kaidah good governance dalam penyelenggaraan urusan Lingkungan Hidup,Pengadaan  Cetakan Umum dan Khusus,"75,000,000"
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BIRO HUKUM,Program peningkatan kesadaran hukum dan Hak Azasi Manusia (HAM),Penyuluhan Hukum Terpadu bagi Kelurahan Sadar Hukum,"200,000,000"
2013,2.06,PERDAGANGAN,DINAS PERINDUSTRIAN Dan ENERGI,Program peningkatan kualitas produk sentra industri,"Pengawasan dan Pengendalian ILMTA dan IAK (Lanjutan)

","100,000,000"
2013,1.06,PERENCANAAN PEMBANGUNAN,Kantor Perencanaan Pembangunan - JAKUT,Program penelitian dan pengembangan daerah,Evaluasi Program MHT Plus 2008 - 2012,"175,000,000"
2013,1.03,PEKERJAAN UMUM,DINAS PEKERJAAN UMUM,Pengembangan Sistim Drainase,Penurapan Kali Baru Kramat Jati,"3,375,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Olahraga Cendrawasih,Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Pemuda dan Olahraga,Pengadaan Jasa Kebersihan (Cleaning Service) Gelanggang Olahraga Cendrawasih dan 7 Fasilitas Olahraga,"1,200,000,000"
2013,1.14,KETENAGAKERJAAN,Pusat Pelatihan Kerja Daerah Jakarta Utara,Penerapan prinsip good governance dalam penyelenggaraan urusan Ketenagakerjaan,Penyediaan Jasa Kebersihan Gedung Kantor PPKD Jakarta Utara,"535,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Remaja Jakarta Timur,Program Peningkatan Sarana Prasarana Pemuda dan Olahraga,Penggantian Parkit Gelanggang Remaja Kecamatan Matraman,"175,000,000"
2013,2.04,PARIWISATA,DINAS PARIWISATA DAN KEBUDAYAAN,3. Program pengembangan destinasi pariwisata,Jakarta International Film Festival (JIFFEST),"1,000,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,"Kantor Pemberdayaan Masyarakat, Perempuan dan Keluarga Berencana Kab. Adm - Kep. Seribu",Penerapan prinsip kaidah good governance dalam penyelenggaraan urusan Keluarga Berencana,Pengadaan Formulir Pemutakhiran Data Keluarga (MDK),"25,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Sudin Olah Raga Dan Pemuda - JAKBAR,Program Pembinaan Peran Serta Masyarakat Terhadap Pemuda,Partisipasi Jakarta Youth Festival,"100,000,000"
2013,1.08,LINGKUNGAN HIDUP,Sudin Pemakaman - JAKUT,Program peningkatan sarana dan prasarana Lingkungan Hidup,"Peningkatan Jalan  Beton  TPU Semper

","375,000,000"
2013,1.11,PEMBERDAYAAN PEREMPUAN DA,Kantor Pemberdayaan Masyarakat dan Perempuan - JAKPUS,Program penguatan kelembagaan pengarusutamaan gender dan anak,Dialog Interaktif Reposisi dan Kepemimpinan Perempuan Menuju Indonesia Ramah Gender,"250,000,000"
2013,1.17,KEBUDAYAAN,Museum Bahari,1. Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Kebudayaan,Penyediaan Barang Cetakan,"100,000,000"
2013,1.13,SOSIAL,Panti Sosial Bina Insan Bangun Daya 3,Penerapan prinsip kaidah good govermance dalam penyelenggaraan urusan sosial,PENYEDIAAN ALAT TULIS KANTOR,"30,000,000"
2013,1.17,KEBUDAYAAN,Balai Latihan Kesenian Jakbar,8. Program peningkatan sarana prasarana Kebudayaan,Pengadaan Layar Panggung,"100,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Sudin Olah Raga Dan Pemuda - JAKUT,Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Pemuda dan Olahraga,Pemeliharaan Peralatan Kantor,"48,000,000"
2013,1.03,PEKERJAAN UMUM,Sudin PU Tata Air - JAKPUS,Program Penerapan kaidah Good Governance dalam penyelenggaraan urusan Pekerjaan Umum,Kajian Potensi Air Baku di Wilayah Jakarta Pusat,"100,000,000"
2013,2.04,PARIWISATA,Sudin Pariwisata - Kep. Seribu,4. Program pengembangan pemasaran pariwisata,Partisipasi Promosi Pariwisata pada APKASI,"75,000,000"
2013,2.06,PERDAGANGAN,UPT Balai Bahan dan Barang Teknik,Program peningkatan sarana dan prasarana Perdagangan,Penyediaan Cetakan Umum dan Cetakan Khusus,"50,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Remaja Jakarta Selatan,Program Peningkatan Sarana Prasarana Pemuda dan Olahraga,Pembuatan Saluran dan Pemasangan Drill Keliling Lapangan PSPT Tebet,"75,000,000"
2013,1.05,PENATAAN RUANG,Sudin Pengawasan Dan Penertiban Bangunan - JAKPUS,peningkatan sarana dan prasarana Penataan Ruang,Penyediaan Jasa TALI,"12,000,000"
2013,1.05,PENATAAN RUANG,Sudin Tata Ruang dan Pertanahan  - JAKTIM,peningkatan sarana dan prasarana Penataan Ruang,Sewa Mesin Fotocopy,"25,000,000"
2013,1.13,SOSIAL,Panti Sosial Asuhan Putra Utama 3,Program pelayanan dan rehabilitasi sosial,Penyediaan Perlengkapan Sekolah,"238,190,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Unit Pengelola Kawasan Pelabuhan Perikanan Dan Pangkalan Pendaratan Ikan,"Program penerapan kaidah good governance dalam penyelenggaraan urusan Perikanan, Kelautan, dan Peternakan",Pemeliharaan inventaris kantor,"100,000,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - JAKPUS,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perhubungan","CETAKAN KHUSUS KEPERLUAN KANTOR

","30,000,000"
2013,1.02,KESEHATAN,BLUD Puskesmas Kec. Tanah Abang - JAKPUS,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kesehatan,Peningkatan Kualitas SDM Tenaga Kesehatan Puskesmas,"100,000,000"
2013,1.21,KETAHANAN PANGAN,DINAS KELAUTAN DAN PERTANIAN,Program penerapan kaidah good governance dalam penyelenggaraan urusan Ketahanan Pangan,"Pengelolaan Gedung Dinas Teknis Gunung Sahari (Jasa Kebersihan, Pengamanan Kantor dan Pemeliharaan Gedung)","3,000,000,000"
2013,1.19,KESATUAN BANGSA DAN POLIT,Kantor Kesatuan Bangsa Dan Politik - JAKSEL,Program pencegahan dan penanggulangan konflik,Peningkatan Pengetahuan dan Sosialisasi tentang Hak dan Kewajiban Ormas dan LSM,"200,000,000"
2013,1.07,PERHUBUNGAN,UPT Terminal dan Angkutan Jalan,Program peningkatan pengelolaan terminal bus antar kota,Peningkatan Emplasemen Terminal Bus Pinang Ranti,"450,000,000"
2013,1.05,PENATAAN RUANG,Sudin Tata Ruang dan Pertanahan - JAKPUS,Program penerapan kaidah good governance dalam penyelenggaraan Urusan Penataan Ruang,Pengembangan Wawasan Staf,"100,000,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - JAKBAR,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perhubungan",Pengadaan Amplop dan Kop Surat Sudin Perhubungan Jakarta Barat,"25,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,Kantor Keluarga Berencana - JAKTIM,Program pembinaan peran serta masyarakat dalam pelayanan KB/KR yang mandiri,Pemilihan PKB ( Penyuluh Keluarga Berencana ) dan PPKB RW Teladan Tk Kecamatan,"40,000,000"
2013,1.07,PERHUBUNGAN,UPT  Sistem Pengendalian Lalulintas,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perhubungan",Pengadaan Pakaian Operasional Pegawai UP. SPLL,"50,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,Kantor Keluarga Berencana - JAKUT,Program pengembangan pusat pelayanan informasi dan konseling remaja,Gelar Kreatifitas PIK Remaja Jalur Sekolah,"60,650,000"
2013,1.25,KOMUNIKASI DAN INFORMATIK,"Sudin Komunikasi, Informatika dan Kehumasan - Kep.Seribu",Program peningkatan citra positif pemerintah,Penerbitan Bulletin Kabupaten Adm. Kepulauan Seribu,"200,000,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Sudin Kelautan dan Perikanan - KEP. SERIBU,"Program peningkatan sarana dan prasarana Perikanan, Kelautan, dan Peternakan",Pembangunan kios dan bronjong penahan gelombang di Docking Kapal Pulau Untung Jawa,"300,000,000"
2013,1.23,STATISTIK,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Program pengembangan Statistik Daerah,Penyusunan Indikator Kesejahteraan Masyarakat,"250,000,000"
2013,1.16,PENANAMAN MODAL,BADAN PENANAMAN MODAL Dan PROMOSI,Program peningkatan sarana prasarana penanaman modal,Pengadaan Peralatan Dapur,"10,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Olahraga Rawamangun,Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Pemuda dan Olahraga,"Penyediaan Jasa TALI (Telephone, Air, Listrik, Internet) Kantor/ Fasilitas OLahraga Unit Pengelola Gelanggang Olahraga","1,609,781,760"
2013,1.17,KEBUDAYAAN,Sudin Kebudayaan - JAKUT,6. Program pengembangan kerjasama pengelolaan kekayaan budaya,Sosialisasi 12 Jalur Destinasi Wisata Pesisir  Jakarta Utara,"100,000,000"
2013,1.04,PERUMAHAN,Sudin Perumahan dan Gedung Pemda - JAKSEL,Program peningkatan kesehatan lingkungan permukiman,Perbaikan Jalan Orang / Saluran RW 06 Kelurahan Bintaro,"97,235,000"
2013,1.14,KETENAGAKERJAAN,Sudin Tenaga Kerja Dan Transmigrasi - JAKTIM,Program perlindungan dan pengembangan lembaga ketenagakerjaan,Pembinaan Jaminan Sosial Tenaga Kerja,"150,000,000"
2013,2.03,ENERGI DAN SUMBERDAYA MIN,Sudin Perindustrian Dan Energi - JAKPUS,Program Pemeliharaan dan Operasional Penerangan Jalan dan Sarana Umum Kota,Pemeliharaan/Perawatan Pencahayaan Kota Kec.Cempaka Putih Periode Januari-Juni 2013,"300,000,000"
2013,2.06,PERDAGANGAN,Pusat Perkayuan,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perdagangan dan Perindustrian",Partisipasi Pameran Dalam Daerah,"150,000,000"
2013,1.02,KESEHATAN,BLUD RS Cengkareng,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kesehatan,Belanja Operasional Layanan Umum,"120,000,000,000"
2013,1.25,KOMUNIKASI DAN INFORMATIK,"Sudin Komunikasi, Informatika dan Kehumasan - JAKUT",Program peningkatan sarana dan prasarana Komunikasi dan Informatika,"Pengadaan Software Backup Data Server

","100,000,000"
2013,1.26,PERPUSTAKAAN,Kantor Perpustakaan Dan Arsip Daerah - JAKPUS,Program pemberdayaan komunitas perpustakaan dalam pengelolaan perpustakaan,Hari Anak Jakarta membaca (HANJABA),"150,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Remaja Jakarta Pusat,Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Pemuda dan Olahraga,Pengamanan kantor dan pendukung layanan fasilitas gedung olahraga dan pemuda GRJP,"844,800,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - Kep. Seribu,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perhubungan",Pelaksanaan perbaikan/docking kapal kerja,"75,000,000"
2013,1.07,PERHUBUNGAN,UPT  Sistem Pengendalian Lalulintas,Program peningkatan kinerja jaringan lampu lalu lintas,Penyempurnaan Lampu Lalu Lintas DKI Jakarta Wilayah Timur,"4,650,000,000"
2013,1.04,PERUMAHAN,Sudin Perumahan dan Gedung Pemda - JAKPUS,Program Peningkatan Kualitas dan Perbaikan Kampung (Dedicated),"Perbaikan jalan orang RW 02 Kel. Gunung Sahari Utara

","132,000,000"
2013,1.03,PEKERJAAN UMUM,DINAS PERUMAHAN DAN GEDUNG PEMDA,Program penyediaan gedung untuk layanan publik dan pemerintahan,Pemasangan Lift Gedung Pemda Jakarta Barat,"1,000,000,000"
2013,1.16,PENANAMAN MODAL,BADAN PENANAMAN MODAL Dan PROMOSI,Program peningkatan investasi,Pengelolaan Data Investasi,"200,000,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",DINAS KELAUTAN DAN PERTANIAN,"Program pengembangan usaha peternakan, budidaya ikan konsumsi, ikan hias dan perikanan tangkap",Pembinaan Dan Penilaian Kelompok Pembudidaya Ikan (Perbenihan dan Pembesaran),"300,000,000"
2013,1.13,SOSIAL,Panti Sosial Tresna Werdha Budi Mulia 4,Penerapan prinsip kaidah good govermance dalam penyelenggaraan urusan sosial,Penyediaan Jasa Tenaga Pelayanan Sosial,"393,855,000"
2013,1.10,KEPENDUDUKAN DAN CATATAN ,Sudin Kependudukan Dan Pencatatan Sipil - JAKUT,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kependudukan dan Catatan Sipil,Pengadaan Jasa Kebersihan (Cleaning Service),"150,000,000"
2013,2.03,ENERGI DAN SUMBERDAYA MIN,Sudin Perindustrian Dan Energi - JAKTIM,Program Pengembangan Penerangan Jalan dan Sarana Umum,Pembangunan PJU usulan warga Kelurahan Klender,"299,228,400"
2013,1.01,PENDIDIKAN,Sudin Pendidikan Dasar - JAKTIM,Program penerapan kaidah good governance dalam penyelenggaraan urusan Pendidikan,Pembinaan Rohani Pegawai Sudin Dikdas Jak-Tim,"32,000,000"
2013,1.10,KEPENDUDUKAN DAN CATATAN ,Sudin Kependudukan Dan Pencatatan Sipil - JAKSEL,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kependudukan dan Catatan Sipil,Penyajian Data dan Informasi Dukcapil,"18,440,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Balai Kesehatan Hewan dan Ikan,"Program penerapan kaidah good governance dalam penyelenggaraan urusan Perikanan, Kelautan, dan Peternakan",Pengadaan Alat Tulis Kantor Balai Kesehatan Hewan dan Ikan,"50,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Program Keluarga Berencana (KB),Penggalangan TNI Manunggal KB Kesehatan,"71,386,000"
2013,1.21,KETAHANAN PANGAN,Sudin Pertanian dan Kehutanan - JAKUT,Program penerapan kaidah good governance dalam penyelenggaraan urusan Ketahanan Pangan,Pengelolaan Kerumahtanggaan Kantor,"100,000,000"
2013,1.25,KOMUNIKASI DAN INFORMATIK,"Sudin Komunikasi, Informatika dan Kehumasan - JAKTIM",Program optimalisasi pemanfaatan teknologi informasi,Pembangunan SI Pelayanan Publik Berbasis Multimedia Pemko Jakarta Timur,"70,000,000"
2013,1.08,LINGKUNGAN HIDUP,Sudin Pertamanan - JAKPUS,Program peningkatan peran serta masyarakat dalam pengelolaan Lingkungan Hidup,Pembinaan RW Unggulan dan RW Binaan PKK di Wilayah Jakarta Pusat,"100,000,000"
2013,1.03,PEKERJAAN UMUM,UPT Kelistrikan - Kep. Seribu,Program Penyediaan dan Pengelolaan Air Bersih,Perbaikan/rehab Rumah IPA sistem RO di Pulau Lancang dan Pulau Pari,"100,000,000"
2013,1.06,PERENCANAAN PEMBANGUNAN,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Program peningkatan kapasitas SDM Perencana Pembangunan,Pelatihan Fungsional Perencana,"500,000,000"
2013,1.13,SOSIAL,Panti Sosial Tresna Werdha Budi Mulia 4,Program pelayanan dan rehabilitasi sosial,Penyediaan Makanan dan Minuman WBS Semester I,"712,687,500"
2013,1.18,PEMUDA DAN OLAHRAGA,Sudin Pemuda Dan Olah Raga - JAKSEL,Program Pembinaan Peran Serta Masyarakat Terhadap Pemuda,Lomba TUB dan PBB antar sekolah tingkat Kecamatan se-Kota Administrasi Jakarta Selatan,"100,000,000"
2013,1.09,PERTANAHAN,DINAS TATA RUANG DAN PERTANAHAN,"Program pendataan Penguasaan, Pemilikan, Penggunaan dan Pemanfaatan Tanah (P4T)",Pendataan dan Otomasi P4T di Wilayah Jakarta Barat,"840,000,000"
2013,2.06,PERDAGANGAN,UPT Balai Kerajinan,Program peningkatan sarana dan prasarana Perdagangan,Penyediaan Barang Cetakan,"75,000,000"
2013,1.15,KOPERASI DAN USAHA KECIL ,"Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKBAR",Program penerapan prinsip good governance dalam penyelenggaraan urusan Koperasi dan UKM,"Peningkatan Penatausahaan Sudin Koperasi, UMKM dan Perdagangan Kota Administrasi Jakarta Barat","100,000,000"
2013,1.12,KELUARGA BERENCANA DAN KE,Kantor Keluarga Berencana - JAKPUS,Program Keluarga Berencana (KB),Pelaksanaan Bakti Sosial Kesatuan Gerak PKK-KB-Kesehatan,"80,000,000"
2013,1.11,PEMBERDAYAAN PEREMPUAN DA,Kantor Pemberdayaan Masyarakat dan Perempuan - JAKPUS,Program kebijakan tentang keserasian peningkatan kualitas anak dan perempuan,KIE Trafficking,"60,000,000"
2013,1.26,PERPUSTAKAAN,Kantor Perpustakaan Dan Arsip Daerah - P. SERIBU,Program pelaksanaan SPM lain urusan perpustakaan,Pembentukan Taman Bacaan Masyarakat di Dermaga,"300,000,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Pusat Budidaya Perikanan,"Program pengembangan usaha peternakan, budidaya ikan konsumsi, ikan hias dan perikanan tangkap",Pengadaan Media dan Khemikalia Lab. Pengujian Budidaya Perikanan,"470,000,000"
2013,1.11,PEMBERDAYAAN PEREMPUAN DA,Kantor Pemberdayaan Masyarakat dan Perempuan - JAKUT,Program penguatan kelembagaan pengarusutamaan gender dan anak,PENGEMBANGAN KAPASITAS SUMBER DAYA MANUSIA PENGURUS ORGANISASI PEREMPUAN,"100,000,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - JAKSEL,Program penerapan kaidah good governance dalam penyelenggaraan urusan Perhubungan,Pengendalian dan Penertiban Kelaikan Angkutan Umum Wilayah Jakarta Selatan,"150,000,000"
2013,1.17,KEBUDAYAAN,Museum Tekstil,1. Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Kebudayaan,Pengadaan Makanan dan Minuman Karyawan,"28,000,000"
2013,1.17,KEBUDAYAAN,Museum Tekstil,4. Program pengelolaan kekayaan budaya,Festival Tekstil Indonesia,"400,000,000"
2013,1.07,PERHUBUNGAN,UPT Terminal Terpadu Pulo Gebang,c. Program pembangunan Terminal Bus Pulogebang,"Pemeriksaan Urine, Gula Darah dan Kadar Alkohol Awak Kendaraan Angkutan Umum di Terminal Terpadu Pulogebang","500,000,000"
2013,1.03,PEKERJAAN UMUM,Sudin Perindustrian Dan Energi - JAKUT,Program Penerapan kaidah Good Governance dalam penyelenggaraan urusan Pekerjaan Umum,"Survey Gabungan Pencahayaan Kota / Penerangan Jalan Umum

","50,000,000"
2013,2.06,PERDAGANGAN,Sudin Perindustrian Dan Energi - JAKPUS,Program peningkatan promosi dan pengembangan ekspor,Partisipasi Produk Industri Jakarta Pusat pada Pameran INACRAFT,"120,000,000"
2013,1.13,SOSIAL,Panti Sosial Asuhan Putra Utama 3,Penerapan prinsip kaidah good govermance dalam penyelenggaraan urusan sosial,Penyediaan Jasa Pengamanan Kantor,"67,450,000"
2013,1.17,KEBUDAYAAN,Balai Latihan Kesenian Jaktim,1. Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Kebudayaan,Penyediaan Jasa Kebersihan Kantor (Cleaning Service),"420,500,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P","Sudin Peternakan, Perikanan dan Kelautan - JAKUT","Program penerapan kaidah good governance dalam penyelenggaraan urusan Perikanan, Kelautan, dan Peternakan",Penyediaan BBM dan pemeliharaan kendaraan operasional,"400,000,000"
2013,2.06,PERDAGANGAN,"DINAS KOPERASI,  UMKM, DAN PERDAGANGAN",Program perlindungan konsumen dan pengamanan perdagangan,Pengawasan Peredaran Minuman Beralkohol,"100,000,000"
2013,1.01,PENDIDIKAN,DINAS PENDIDIKAN,Program pendidikan luar biasa,Pembinaan dan pemberian Dana Pendamping Sekolah Inklusi Tahun 2013,"2,500,000,000"
2013,1.10,KEPENDUDUKAN DAN CATATAN ,Sudin Kependudukan Dan Pencatatan Sipil - JAKBAR,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kependudukan dan Catatan Sipil,Pelaksanaan Koordinasi Peningkatan Pelayanan Dukcapil,"29,700,000"
2013,2.05,"PERIKANAN, KELAUTAN DAN P",Sudin Kelautan dan Perikanan - KEP. SERIBU,"Program pengembangan usaha peternakan, budidaya ikan konsumsi, ikan hias dan perikanan tangkap",Pembinaan Alat Tangkap Alternatif Bagi Nelayan Tangkap di Kepulauan Seribu,"200,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Remaja Jakarta Timur,Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Pemuda dan Olahraga,Penyediaan Konsumsi Rapat ,"30,000,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - JAKTIM,Program penerapan kaidah good governance dalam penyelenggaraan urusan Perhubungan,Pengendalian Lalu Lintas dan Angkutan Umum,"1,250,000,000"
2013,1.26,PERPUSTAKAAN,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,Program pengembangan perpustakaan Jakarta,Iklan Layanan Masyarakat tentang Perpustakaan,"4,700,000,000"
2013,1.05,PENATAAN RUANG,DINAS PENGAWASAN DAN PENERTIBAN BANGUNAN,peningkatan sarana dan prasarana Penataan Ruang,Jasa Pengamanan Gedung Kantor,"350,000,000"
2013,1.21,KETAHANAN PANGAN,Sudin Pertanian dan Kehutanan - JAKUT,Program pemberdayaan masyarakat dalam ketahanan pangan,Pemantauan Harga Pasar Produk tanaman pangan dan hortikultura,"50,000,000"
2013,1.07,PERHUBUNGAN,Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu,Program penerapan kaidah good governance dalam penyelenggaraan urusan Perhubungan,Sinkronisasi Pengelolaan Pulau Panjang,"100,000,000"
2013,1.14,KETENAGAKERJAAN,Pusat Pelatihan Kerja Daerah Jakarta Barat,Program peningkatan kualitas dan produktivitas tenaga kerja,Pelatihan Keterampilan Kerja Kejuruan Tata Graha,"299,550,000"
2013,1.02,KESEHATAN,BLUD RSUD Kep. Seribu,Program penerapan kaidah good governance dalam penyelenggaraan urusan Kesehatan,Pelaksanaan kegiatan sosialisasi disiplin PNS RSU Kep. Seribu,"20,000,000"
2013,1.13,SOSIAL,BIRO PENDIDIKAN Dan MENTAL SPIRITUAL,Program pembinaan lembaga mental spritual,Pembinaan Manasik Haji Bagi Calon Jamaah Haji Manuju kemandirian,"100,000,000"
2013,1.03,PEKERJAAN UMUM,Sudin Perindustrian Dan Energi - JAKPUS,Program Penerapan kaidah Good Governance dalam penyelenggaraan urusan Pekerjaan Umum,Pengadaan Alat Tulis Kantor,"40,000,000"
